jobname,location,company,jobLink
Product Management - ShopeePay,"Jakarta, Indonesia",Shopee,https://id.linkedin.com/jobs/view/product-management-shopeepay-at-shopee-3858371787?position=60&pageNum=0&refId=khLUhkuUsD1fxHHOwUC7PQ%3D%3D&trackingId=Eq3TMlkXk5e14JICuIz9og%3D%3D
Corporate Banking Business Analyst,Jakarta Metropolitan Area,PT. BANK NEGARA INDONESIA (Persero) Tbk.,https://id.linkedin.com/jobs/view/corporate-banking-business-analyst-at-pt-bank-negara-indonesia-persero-tbk-4004735729?position=1&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=dhizxypT8ZOChtCKpM%2FtoA%3D%3D
Business Analyst,"Jakarta, Indonesia",OTO,https://id.linkedin.com/jobs/view/business-analyst-at-oto-4033885329?position=2&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=wXVKDOzHp6v7sPd5YAs4TQ%3D%3D
1,"Lembang, West Java, Indonesia",PT Adaro Energy Indonesia Tbk,https://id.linkedin.com/jobs/view/1-at-pt-adaro-energy-indonesia-tbk-4032272697?position=3&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=m1CgEC%2BmwWVZuOCyDuWnuQ%3D%3D
Performance Analysis & Management Intern,"West Karawang, West Java, Indonesia",Kalbe Nutritionals (PT Sanghiang Perkasa),https://id.linkedin.com/jobs/view/performance-analysis-management-intern-at-kalbe-nutritionals-pt-sanghiang-perkasa-4023876595?position=4&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=96tJYcbfjf38%2Bai8TiVhGw%3D%3D
Data Analyst Staff,"Jakarta, Indonesia",PT. Surya Pertiwi Tbk,https://id.linkedin.com/jobs/view/data-analyst-staff-at-pt-surya-pertiwi-tbk-4027169331?position=5&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=78TIpNntLMySa0HUhmFhdQ%3D%3D
Data Analyst Marketing,"Jakarta, Jakarta, Indonesia",PT ASTRA OTOPARTS Tbk,https://id.linkedin.com/jobs/view/data-analyst-marketing-at-pt-astra-otoparts-tbk-4014381150?position=6&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=Sk0UX7vNUuqqXgZpZZ4Ktg%3D%3D
1,"Lembang, West Java, Indonesia",PT Adaro Energy Indonesia Tbk,https://id.linkedin.com/jobs/view/1-at-pt-adaro-energy-indonesia-tbk-4010814119?position=7&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=Ltj2%2FxVIQO5x01%2BSgns0DQ%3D%3D
"Data Analyst, Business Intelligence","Jakarta, Indonesia",Shopee,https://id.linkedin.com/jobs/view/data-analyst-business-intelligence-at-shopee-3611204797?position=8&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=LU8b33noVNO4M7zozJOoBw%3D%3D
"Data Analyst, Modern Trade","Jakarta, Indonesia",Kopi Kenangan,https://id.linkedin.com/jobs/view/data-analyst-modern-trade-at-kopi-kenangan-4034033217?position=9&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=MG6EECtywNo1LOSVVaKUeA%3D%3D
Financial Business Analyst,"Jakarta, Indonesia",PT Bank Sinarmas Tbk,https://id.linkedin.com/jobs/view/financial-business-analyst-at-pt-bank-sinarmas-tbk-4020413661?position=10&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=NlBRZ7D8WLtUCZHxAaGCRg%3D%3D
General Affair Assistant,"West Karawang, West Java, Indonesia",Kalbe Nutritionals (PT Sanghiang Perkasa),https://id.linkedin.com/jobs/view/general-affair-assistant-at-kalbe-nutritionals-pt-sanghiang-perkasa-4034192757?position=11&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=Kcznsq7UlZMSIf3TdGsSyA%3D%3D
Digital Marketing Analyst,"Jakarta, Jakarta, Indonesia",PT ASTRA OTOPARTS Tbk,https://id.linkedin.com/jobs/view/digital-marketing-analyst-at-pt-astra-otoparts-tbk-4014377478?position=12&pageNum=0&refId=kFWsYbBuQX9B5jT9ftiecg%3D%3D&trackingId=38CubpHIbwFz%2F0L1WZfXUw%3D%3D
